2.02E+13,wrongtime,x,y,team,time
Daren Bates,2035.575,91.23,21.2,away,3
Brynden Trawick,2035.575,90.81,25.81,away,3
Walt Aikens,2035.575,92.61,6.57,home,3
David Fluellen,2035.575,89.92,28.42,away,3
Senorise Perry,2035.575,95.36,25.68,home,3
Stephone Anthony,2035.575,93.07,21.94,home,3
A.J. Derby,2035.575,92.93,24.71,home,3
LeShaun Sims,2035.575,89.48,25.6,away,3
Aaron Wallace,2035.575,90.81,22.95,away,3
Tanner McEvoy,2035.575,97.76,22.4,home,3
Kenneth Durden,2035.575,90.4,44.42,away,3
Jonnu Smith,2035.575,89.79,24.56,away,3
Jayon Brown,2035.575,91.05,19.68,away,3
Chase Allen,2035.575,92.97,22.78,home,3
Matt Haack,2035.575,105.44,23.89,home,3
Torry McTyer,2035.575,92.8,45.28,home,3
Jerome Baker,2035.575,93.07,25.57,home,3
Durham Smythe,2035.575,92.39,23.96,home,3
Dane Cruikshank,2035.575,89.54,21.89,away,3
football,2035.575,91.73,23.82,football,3
Rishard Matthews,2035.576,39.38,24.02,away,4
Brandon Bolden,2035.576,94.48,21.64,home,4
Logan Ryan,2035.576,90.13,7.15,away,4
Daren Bates,2035.576,91.23,21.22,away,4
Brynden Trawick,2035.576,90.82,25.81,away,4
Walt Aikens,2035.576,92.61,6.57,home,4
David Fluellen,2035.576,89.93,28.41,away,4
Senorise Perry,2035.576,95.36,25.68,home,4
Stephone Anthony,2035.576,93.07,21.94,home,4
A.J. Derby,2035.576,92.93,24.71,home,4
LeShaun Sims,2035.576,89.49,25.6,away,4
Aaron Wallace,2035.576,90.81,22.95,away,4
Tanner McEvoy,2035.576,97.76,22.4,home,4
Kenneth Durden,2035.576,90.4,44.42,away,4
Jonnu Smith,2035.576,89.79,24.56,away,4
Jayon Brown,2035.576,91.05,19.67,away,4
Chase Allen,2035.576,92.97,22.78,home,4
Matt Haack,2035.576,105.44,23.89,home,4
Torry McTyer,2035.576,92.8,45.28,home,4
Jerome Baker,2035.576,93.07,25.56,home,4
Durham Smythe,2035.576,92.39,23.97,home,4
Dane Cruikshank,2035.576,89.54,21.88,away,4
football,2035.576,91.73,23.82,football,4
Rishard Matthews,2035.577,39.38,24.02,away,5
Brandon Bolden,2035.577,94.48,21.64,home,5
Logan Ryan,2035.577,90.13,7.16,away,5
Daren Bates,2035.577,91.23,21.24,away,5
Brynden Trawick,2035.577,90.82,25.81,away,5
Walt Aikens,2035.577,92.61,6.57,home,5
David Fluellen,2035.577,89.93,28.41,away,5
Senorise Perry,2035.577,95.36,25.68,home,5
Stephone Anthony,2035.577,93.07,21.94,home,5
A.J. Derby,2035.577,92.92,24.72,home,5
LeShaun Sims,2035.577,89.51,25.57,away,5
Aaron Wallace,2035.577,90.86,22.94,away,5
Tanner McEvoy,2035.577,97.76,22.4,home,5
Kenneth Durden,2035.577,90.39,44.42,away,5
Jonnu Smith,2035.577,89.79,24.56,away,5
Jayon Brown,2035.577,91.06,19.67,away,5
Chase Allen,2035.577,92.97,22.78,home,5
Matt Haack,2035.577,105.44,23.89,home,5
Torry McTyer,2035.577,92.8,45.28,home,5
Jerome Baker,2035.577,93.07,25.56,home,5
Durham Smythe,2035.577,92.38,23.97,home,5
Dane Cruikshank,2035.577,89.54,21.87,away,5
football,2035.577,91.72,23.82,football,5
Rishard Matthews,2035.578,39.38,24.02,away,6
Brandon Bolden,2035.578,94.48,21.64,home,6
Logan Ryan,2035.578,90.13,7.16,away,6
Daren Bates,2035.578,91.23,21.26,away,6
Brynden Trawick,2035.578,90.84,25.8,away,6
Walt Aikens,2035.578,92.61,6.57,home,6
David Fluellen,2035.578,89.94,28.41,away,6
Senorise Perry,2035.578,95.36,25.68,home,6
Stephone Anthony,2035.578,93.07,21.94,home,6
A.J. Derby,2035.578,92.92,24.72,home,6
LeShaun Sims,2035.578,89.52,25.58,away,6
Aaron Wallace,2035.578,90.86,22.94,away,6
Tanner McEvoy,2035.578,97.76,22.4,home,6
Kenneth Durden,2035.578,90.39,44.43,away,6
Jonnu Smith,2035.578,89.8,24.56,away,6
Jayon Brown,2035.578,91.04,19.67,away,6
Chase Allen,2035.578,92.97,22.78,home,6
Matt Haack,2035.578,105.44,23.89,home,6
Torry McTyer,2035.578,92.8,45.28,home,6
Jerome Baker,2035.578,93.07,25.57,home,6
Durham Smythe,2035.578,92.38,23.97,home,6
Dane Cruikshank,2035.578,89.54,21.86,away,6
football,2035.578,91.72,23.82,football,6
Rishard Matthews,2035.579,39.38,24.02,away,7
Brandon Bolden,2035.579,94.48,21.64,home,7
Logan Ryan,2035.579,90.13,7.16,away,7
Daren Bates,2035.579,91.23,21.27,away,7
Brynden Trawick,2035.579,90.84,25.8,away,7
Walt Aikens,2035.579,92.61,6.57,home,7
David Fluellen,2035.579,89.94,28.41,away,7
Senorise Perry,2035.579,95.36,25.69,home,7
Stephone Anthony,2035.579,93.08,21.93,home,7
A.J. Derby,2035.579,92.92,24.72,home,7
LeShaun Sims,2035.579,89.53,25.6,away,7
Aaron Wallace,2035.579,90.94,22.93,away,7
Tanner McEvoy,2035.579,97.76,22.4,home,7
Kenneth Durden,2035.579,90.39,44.43,away,7
Jonnu Smith,2035.579,89.8,24.56,away,7
Jayon Brown,2035.579,91.05,19.67,away,7
Chase Allen,2035.579,92.96,22.78,home,7
Matt Haack,2035.579,105.44,23.89,home,7
Torry McTyer,2035.579,92.8,45.28,home,7
Jerome Baker,2035.579,93.07,25.57,home,7
Durham Smythe,2035.579,92.36,23.95,home,7
Dane Cruikshank,2035.579,89.53,21.84,away,7
football,2035.579,91.72,23.82,football,7
Rishard Matthews,2035.58,39.38,24.02,away,8
Brandon Bolden,2035.58,94.48,21.64,home,8
Logan Ryan,2035.58,90.13,7.17,away,8
Daren Bates,2035.58,91.23,21.28,away,8
Brynden Trawick,2035.58,90.85,25.8,away,8
Walt Aikens,2035.58,92.61,6.57,home,8
David Fluellen,2035.58,89.95,28.4,away,8
Senorise Perry,2035.58,95.36,25.68,home,8
Stephone Anthony,2035.58,93.08,21.93,home,8
A.J. Derby,2035.58,92.92,24.72,home,8
LeShaun Sims,2035.58,89.53,25.6,away,8
Aaron Wallace,2035.58,90.94,22.93,away,8
Tanner McEvoy,2035.58,97.76,22.4,home,8
Kenneth Durden,2035.58,90.38,44.43,away,8
Jonnu Smith,2035.58,89.8,24.56,away,8
Jayon Brown,2035.58,91.02,19.67,away,8
Chase Allen,2035.58,92.96,22.78,home,8
Matt Haack,2035.58,105.44,23.89,home,8
Torry McTyer,2035.58,92.8,45.28,home,8
Jerome Baker,2035.58,93.06,25.58,home,8
Durham Smythe,2035.58,92.36,23.95,home,8
Dane Cruikshank,2035.58,89.52,21.82,away,8
football,2035.58,91.72,23.82,football,8
Rishard Matthews,2035.581,39.38,24.02,away,9
Brandon Bolden,2035.581,94.48,21.64,home,9
Logan Ryan,2035.581,90.13,7.18,away,9
Daren Bates,2035.581,91.23,21.29,away,9
Brynden Trawick,2035.581,90.85,25.8,away,9
Walt Aikens,2035.581,92.61,6.57,home,9
David Fluellen,2035.581,89.95,28.4,away,9
Senorise Perry,2035.581,95.35,25.68,home,9
Stephone Anthony,2035.581,93.08,21.92,home,9
A.J. Derby,2035.581,92.92,24.72,home,9
LeShaun Sims,2035.581,89.52,25.61,away,9
Aaron Wallace,2035.581,91.03,22.91,away,9
Tanner McEvoy,2035.581,97.75,22.4,home,9
Kenneth Durden,2035.581,90.38,44.43,away,9
Jonnu Smith,2035.581,89.8,24.56,away,9
Jayon Brown,2035.581,91.02,19.67,away,9
Chase Allen,2035.581,92.96,22.78,home,9
Matt Haack,2035.581,105.44,23.9,home,9
Torry McTyer,2035.581,92.8,45.28,home,9
Jerome Baker,2035.581,93.06,25.58,home,9
Durham Smythe,2035.581,92.35,23.92,home,9
Dane Cruikshank,2035.581,89.52,21.82,away,9
football,2035.581,91.72,23.82,football,9
Rishard Matthews,2035.582,39.38,24.02,away,10
Brandon Bolden,2035.582,94.48,21.64,home,10
Logan Ryan,2035.582,90.13,7.19,away,10
Daren Bates,2035.582,91.24,21.3,away,10
Brynden Trawick,2035.582,90.86,25.79,away,10
Walt Aikens,2035.582,92.61,6.57,home,10
David Fluellen,2035.582,89.95,28.4,away,10
Senorise Perry,2035.582,95.35,25.68,home,10
Stephone Anthony,2035.582,93.09,21.92,home,10
A.J. Derby,2035.582,92.92,24.72,home,10
LeShaun Sims,2035.582,89.51,25.62,away,10
Aaron Wallace,2035.582,91.03,22.91,away,10
Tanner McEvoy,2035.582,97.75,22.4,home,10
Kenneth Durden,2035.582,90.38,44.42,away,10
Jonnu Smith,2035.582,89.81,24.56,away,10
Jayon Brown,2035.582,90.99,19.68,away,10
Chase Allen,2035.582,92.96,22.78,home,10
Matt Haack,2035.582,105.43,23.9,home,10
Torry McTyer,2035.582,92.8,45.28,home,10
Jerome Baker,2035.582,93.06,25.59,home,10
Durham Smythe,2035.582,92.34,23.92,home,10
Dane Cruikshank,2035.582,89.52,21.82,away,10
football,2035.582,91.72,23.82,football,10
Rishard Matthews,2035.583,39.38,24.02,away,11
Brandon Bolden,2035.583,94.48,21.64,home,11
Logan Ryan,2035.583,90.13,7.19,away,11
Daren Bates,2035.583,91.24,21.31,away,11
Brynden Trawick,2035.583,90.86,25.79,away,11
Walt Aikens,2035.583,92.61,6.58,home,11
David Fluellen,2035.583,89.95,28.4,away,11
Senorise Perry,2035.583,95.35,25.69,home,11
Stephone Anthony,2035.583,93.09,21.92,home,11
A.J. Derby,2035.583,92.91,24.72,home,11
LeShaun Sims,2035.583,89.52,25.62,away,11
Aaron Wallace,2035.583,91.1,22.9,away,11
Tanner McEvoy,2035.583,97.75,22.39,home,11
Kenneth Durden,2035.583,90.37,44.42,away,11
Jonnu Smith,2035.583,89.81,24.56,away,11
Jayon Brown,2035.583,90.99,19.68,away,11
Chase Allen,2035.583,92.96,22.78,home,11
Matt Haack,2035.583,105.43,23.9,home,11
Torry McTyer,2035.583,92.8,45.28,home,11
Jerome Baker,2035.583,93.05,25.59,home,11
Durham Smythe,2035.583,92.33,23.9,home,11
Dane Cruikshank,2035.583,89.52,21.82,away,11
football,2035.583,91.72,23.82,football,11
Rishard Matthews,2035.584,39.38,24.02,away,12
Brandon Bolden,2035.584,94.47,21.64,home,12
Logan Ryan,2035.584,90.13,7.21,away,12
Daren Bates,2035.584,91.24,21.3,away,12
Brynden Trawick,2035.584,90.87,25.79,away,12
Walt Aikens,2035.584,92.61,6.57,home,12
David Fluellen,2035.584,89.95,28.4,away,12
Senorise Perry,2035.584,95.36,25.68,home,12
Stephone Anthony,2035.584,93.09,21.92,home,12
A.J. Derby,2035.584,92.91,24.72,home,12
LeShaun Sims,2035.584,89.51,25.64,away,12
Aaron Wallace,2035.584,91.1,22.9,away,12
Tanner McEvoy,2035.584,97.75,22.39,home,12
Kenneth Durden,2035.584,90.37,44.42,away,12
Jonnu Smith,2035.584,89.81,24.56,away,12
Jayon Brown,2035.584,90.97,19.69,away,12
Chase Allen,2035.584,92.96,22.78,home,12
Matt Haack,2035.584,105.43,23.9,home,12
Torry McTyer,2035.584,92.8,45.28,home,12
Jerome Baker,2035.584,93.05,25.59,home,12
Durham Smythe,2035.584,92.33,23.89,home,12
Dane Cruikshank,2035.584,89.54,21.81,away,12
football,2035.584,91.72,23.81,football,12
Rishard Matthews,2035.585,39.37,24.01,away,13
Brandon Bolden,2035.585,94.47,21.64,home,13
Logan Ryan,2035.585,90.13,7.21,away,13
Daren Bates,2035.585,91.24,21.3,away,13
Brynden Trawick,2035.585,90.9,25.78,away,13
Walt Aikens,2035.585,92.61,6.57,home,13
David Fluellen,2035.585,89.96,28.39,away,13
Senorise Perry,2035.585,95.36,25.68,home,13
Stephone Anthony,2035.585,93.09,21.91,home,13
A.J. Derby,2035.585,92.91,24.72,home,13
LeShaun Sims,2035.585,89.51,25.67,away,13
Aaron Wallace,2035.585,91.16,22.89,away,13
Tanner McEvoy,2035.585,97.75,22.39,home,13
Kenneth Durden,2035.585,90.36,44.41,away,13
Jonnu Smith,2035.585,89.82,24.55,away,13
Jayon Brown,2035.585,90.97,19.69,away,13
Chase Allen,2035.585,92.96,22.78,home,13
Matt Haack,2035.585,105.43,23.9,home,13
Torry McTyer,2035.585,92.8,45.28,home,13
Jerome Baker,2035.585,93.05,25.58,home,13
Durham Smythe,2035.585,92.32,23.88,home,13
Dane Cruikshank,2035.585,89.54,21.82,away,13
football,2035.585,91.51,23.85,football,13
Rishard Matthews,2035.586,39.37,24.01,away,14
Brandon Bolden,2035.586,94.47,21.64,home,14
Logan Ryan,2035.586,90.12,7.21,away,14
Daren Bates,2035.586,91.25,21.31,away,14
Brynden Trawick,2035.586,90.9,25.78,away,14
Walt Aikens,2035.586,92.61,6.57,home,14
David Fluellen,2035.586,89.96,28.39,away,14
Senorise Perry,2035.586,95.36,25.68,home,14
Stephone Anthony,2035.586,93.09,21.91,home,14
A.J. Derby,2035.586,92.92,24.72,home,14
LeShaun Sims,2035.586,89.53,25.64,away,14
Aaron Wallace,2035.586,91.17,22.89,away,14
Tanner McEvoy,2035.586,97.75,22.39,home,14
Kenneth Durden,2035.586,90.36,44.41,away,14
Jonnu Smith,2035.586,89.83,24.55,away,14
Jayon Brown,2035.586,90.95,19.7,away,14
Chase Allen,2035.586,92.96,22.78,home,14
Matt Haack,2035.586,105.43,23.9,home,14
Torry McTyer,2035.586,92.8,45.28,home,14
Jerome Baker,2035.586,93.05,25.57,home,14
Durham Smythe,2035.586,92.31,23.86,home,14
Dane Cruikshank,2035.586,89.56,21.84,away,14
football,2035.586,91.69,23.83,football,14
Rishard Matthews,2035.587,39.37,24.01,away,15
Brandon Bolden,2035.587,94.47,21.64,home,15
Logan Ryan,2035.587,90.12,7.21,away,15
Daren Bates,2035.587,91.26,21.32,away,15
Brynden Trawick,2035.587,90.95,25.78,away,15
Walt Aikens,2035.587,92.61,6.57,home,15
David Fluellen,2035.587,90.01,28.36,away,15
Senorise Perry,2035.587,95.36,25.67,home,15
Stephone Anthony,2035.587,93.09,21.91,home,15
A.J. Derby,2035.587,92.92,24.72,home,15
LeShaun Sims,2035.587,89.54,25.65,away,15
Aaron Wallace,2035.587,91.17,22.89,away,15
Tanner McEvoy,2035.587,97.75,22.39,home,15
Kenneth Durden,2035.587,90.36,44.4,away,15
Jonnu Smith,2035.587,89.84,24.55,away,15
Jayon Brown,2035.587,90.99,19.71,away,15
Chase Allen,2035.587,92.96,22.77,home,15
Matt Haack,2035.587,105.43,23.9,home,15
Torry McTyer,2035.587,92.79,45.28,home,15
Jerome Baker,2035.587,93.06,25.57,home,15
Durham Smythe,2035.587,92.29,23.84,home,15
Dane Cruikshank,2035.587,89.58,21.83,away,15
football,2035.587,91.86,23.81,football,15
Rishard Matthews,2035.588,39.37,24.01,away,16
Brandon Bolden,2035.588,94.48,21.64,home,16
Logan Ryan,2035.588,90.11,7.21,away,16
Daren Bates,2035.588,91.26,21.33,away,16
Brynden Trawick,2035.588,90.98,25.78,away,16
Walt Aikens,2035.588,92.6,6.57,home,16
David Fluellen,2035.588,90.05,28.33,away,16
Senorise Perry,2035.588,95.35,25.67,home,16
Stephone Anthony,2035.588,93.09,21.92,home,16
A.J. Derby,2035.588,92.93,24.72,home,16
LeShaun Sims,2035.588,89.55,25.65,away,16
Aaron Wallace,2035.588,91.27,22.86,away,16
Tanner McEvoy,2035.588,97.74,22.39,home,16
Kenneth Durden,2035.588,90.35,44.41,away,16
Jonnu Smith,2035.588,89.88,24.54,away,16
Jayon Brown,2035.588,91,19.71,away,16
Chase Allen,2035.588,92.96,22.78,home,16
Matt Haack,2035.588,105.42,23.9,home,16
Torry McTyer,2035.588,92.79,45.28,home,16
Jerome Baker,2035.588,93.08,25.56,home,16
Durham Smythe,2035.588,92.29,23.84,home,16
Dane Cruikshank,2035.588,89.63,21.81,away,16
football,2035.588,92.53,23.77,football,16
Rishard Matthews,2035.589,39.37,24,away,17
Brandon Bolden,2035.589,94.49,21.63,home,17
Logan Ryan,2035.589,90.1,7.21,away,17
Daren Bates,2035.589,91.31,21.36,away,17
Brynden Trawick,2035.589,91.04,25.77,away,17
Walt Aikens,2035.589,92.57,6.58,home,17
David Fluellen,2035.589,90.21,28.22,away,17
Senorise Perry,2035.589,95.35,25.67,home,17
Stephone Anthony,2035.589,93.11,21.92,home,17
A.J. Derby,2035.589,92.96,24.73,home,17
LeShaun Sims,2035.589,89.57,25.64,away,17
Aaron Wallace,2035.589,91.32,22.86,away,17
Tanner McEvoy,2035.589,97.73,22.4,home,17
Kenneth Durden,2035.589,90.35,44.42,away,17
Jonnu Smith,2035.589,90,24.5,away,17
Jayon Brown,2035.589,91.03,19.72,away,17
Chase Allen,2035.589,92.96,22.77,home,17
Matt Haack,2035.589,105.41,23.9,home,17
Torry McTyer,2035.589,92.75,45.29,home,17
Jerome Baker,2035.589,93.11,25.54,home,17
Durham Smythe,2035.589,92.29,23.81,home,17
Dane Cruikshank,2035.589,89.67,21.81,away,17
football,2035.589,94.17,23.83,football,17
Rishard Matthews,2035.59,39.37,23.98,away,18
Brandon Bolden,2035.59,94.51,21.63,home,18
Logan Ryan,2035.59,90.06,7.22,away,18
Daren Bates,2035.59,91.37,21.4,away,18
Brynden Trawick,2035.59,91.11,25.76,away,18
Walt Aikens,2035.59,92.52,6.6,home,18
David Fluellen,2035.59,90.41,28.1,away,18
Senorise Perry,2035.59,95.36,25.67,home,18
Stephone Anthony,2035.59,93.13,21.92,home,18
A.J. Derby,2035.59,93.01,24.74,home,18
LeShaun Sims,2035.59,89.62,25.63,away,18
Aaron Wallace,2035.59,91.47,22.86,away,18
Tanner McEvoy,2035.59,97.69,22.43,home,18
Kenneth Durden,2035.59,90.32,44.44,away,18
Jonnu Smith,2035.59,90.17,24.47,away,18
Jayon Brown,2035.59,91.08,19.73,away,18
Chase Allen,2035.59,92.99,22.77,home,18
Matt Haack,2035.59,105.39,23.91,home,18
Torry McTyer,2035.59,92.68,45.32,home,18
Jerome Baker,2035.59,93.18,25.5,home,18
Durham Smythe,2035.59,92.31,23.78,home,18
Dane Cruikshank,2035.59,89.73,21.79,away,18
football,2035.59,95.5,23.89,football,18
Rishard Matthews,2035.591,39.36,23.96,away,19
Brandon Bolden,2035.591,94.55,21.63,home,19
Logan Ryan,2035.591,90.02,7.23,away,19
Daren Bates,2035.591,91.49,21.47,away,19
Brynden Trawick,2035.591,91.26,25.74,away,19
Walt Aikens,2035.591,92.43,6.62,home,19
David Fluellen,2035.591,90.68,27.95,away,19
Senorise Perry,2035.591,95.38,25.67,home,19
Stephone Anthony,2035.591,93.19,21.92,home,19
A.J. Derby,2035.591,93.08,24.75,home,19
LeShaun Sims,2035.591,89.73,25.62,away,19
Aaron Wallace,2035.591,91.58,22.86,away,19
Tanner McEvoy,2035.591,97.64,22.48,home,19
Kenneth Durden,2035.591,90.28,44.48,away,19
Jonnu Smith,2035.591,90.47,24.43,away,19
Jayon Brown,2035.591,91.2,19.77,away,19
Chase Allen,2035.591,93.04,22.76,home,19
Matt Haack,2035.591,105.37,23.94,home,19
Torry McTyer,2035.591,92.57,45.36,home,19
Jerome Baker,2035.591,93.28,25.46,home,19
Durham Smythe,2035.591,92.32,23.75,home,19
Dane Cruikshank,2035.591,89.82,21.77,away,19
football,2035.591,96.83,23.97,football,19
Rishard Matthews,2035.592,39.36,23.93,away,20
Brandon Bolden,2035.592,94.61,21.6,home,20
Logan Ryan,2035.592,89.94,7.23,away,20
Daren Bates,2035.592,91.63,21.56,away,20
Brynden Trawick,2035.592,91.47,25.69,away,20
Walt Aikens,2035.592,92.32,6.63,home,20
David Fluellen,2035.592,90.98,27.77,away,20
Senorise Perry,2035.592,95.41,25.68,home,20
Stephone Anthony,2035.592,93.28,21.9,home,20
A.J. Derby,2035.592,93.19,24.78,home,20
LeShaun Sims,2035.592,89.88,25.61,away,20
Aaron Wallace,2035.592,91.74,22.83,away,20
Tanner McEvoy,2035.592,97.58,22.57,home,20
Kenneth Durden,2035.592,90.19,44.55,away,20
Jonnu Smith,2035.592,90.85,24.38,away,20
Jayon Brown,2035.592,91.38,19.85,away,20
Chase Allen,2035.592,93.14,22.76,home,20
Matt Haack,2035.592,105.34,23.96,home,20
Torry McTyer,2035.592,92.42,45.44,home,20
Jerome Baker,2035.592,93.42,25.42,home,20
Durham Smythe,2035.592,92.36,23.69,home,20
Dane Cruikshank,2035.592,89.97,21.72,away,20
football,2035.592,98.14,24.02,football,20
Rishard Matthews,2035.593,39.34,23.89,away,21
Brandon Bolden,2035.593,94.67,21.57,home,21
Logan Ryan,2035.593,89.83,7.23,away,21
Daren Bates,2035.593,91.81,21.65,away,21
Brynden Trawick,2035.593,91.74,25.62,away,21
Walt Aikens,2035.593,92.15,6.64,home,21
David Fluellen,2035.593,91.38,27.56,away,21
Senorise Perry,2035.593,95.47,25.69,home,21
Stephone Anthony,2035.593,93.41,21.87,home,21
A.J. Derby,2035.593,93.35,24.8,home,21
LeShaun Sims,2035.593,90.09,25.63,away,21
Aaron Wallace,2035.593,91.9,22.79,away,21
Tanner McEvoy,2035.593,97.51,22.66,home,21
Kenneth Durden,2035.593,90.08,44.64,away,21
Jonnu Smith,2035.593,91.31,24.33,away,21
Jayon Brown,2035.593,91.6,19.96,away,21
Chase Allen,2035.593,93.27,22.73,home,21
Matt Haack,2035.593,105.3,24.02,home,21
Torry McTyer,2035.593,92.21,45.55,home,21
Jerome Baker,2035.593,93.59,25.37,home,21
Durham Smythe,2035.593,92.44,23.61,home,21
Dane Cruikshank,2035.593,90.17,21.66,away,21
football,2035.593,99.44,24.07,football,21
Rishard Matthews,2035.594,39.32,23.85,away,22
Brandon Bolden,2035.594,94.75,21.54,home,22
Logan Ryan,2035.594,89.71,7.23,away,22
Daren Bates,2035.594,92.01,21.73,away,22
Brynden Trawick,2035.594,92.08,25.56,away,22
Walt Aikens,2035.594,91.95,6.64,home,22
David Fluellen,2035.594,91.83,27.34,away,22
Senorise Perry,2035.594,95.54,25.72,home,22
Stephone Anthony,2035.594,93.55,21.84,home,22
A.J. Derby,2035.594,93.53,24.83,home,22
LeShaun Sims,2035.594,90.33,25.66,away,22
Aaron Wallace,2035.594,92.09,22.75,away,22
Tanner McEvoy,2035.594,97.43,22.79,home,22
Kenneth Durden,2035.594,89.93,44.76,away,22
Jonnu Smith,2035.594,91.83,24.27,away,22
Jayon Brown,2035.594,91.86,20.09,away,22
Chase Allen,2035.594,93.43,22.7,home,22
Matt Haack,2035.594,105.25,24.08,home,22
Torry McTyer,2035.594,91.98,45.67,home,22
Jerome Baker,2035.594,93.78,25.35,home,22
Durham Smythe,2035.594,92.55,23.51,home,22
Dane Cruikshank,2035.594,90.42,21.58,away,22
football,2035.594,100.7,24.13,football,22
Rishard Matthews,2035.595,39.31,23.81,away,23
Brandon Bolden,2035.595,94.83,21.49,home,23
Logan Ryan,2035.595,89.56,7.21,away,23
Daren Bates,2035.595,92.24,21.82,away,23
Brynden Trawick,2035.595,92.43,25.5,away,23
Walt Aikens,2035.595,91.7,6.62,home,23
David Fluellen,2035.595,92.32,27.11,away,23
Senorise Perry,2035.595,95.62,25.76,home,23
Stephone Anthony,2035.595,93.72,21.79,home,23
A.J. Derby,2035.595,93.72,24.85,home,23
LeShaun Sims,2035.595,90.62,25.72,away,23
Aaron Wallace,2035.595,92.31,22.69,away,23
Tanner McEvoy,2035.595,97.35,22.92,home,23
Kenneth Durden,2035.595,89.74,44.89,away,23
Jonnu Smith,2035.595,92.39,24.21,away,23
Jayon Brown,2035.595,92.15,20.23,away,23
Chase Allen,2035.595,93.63,22.68,home,23
Matt Haack,2035.595,105.18,24.12,home,23
Torry McTyer,2035.595,91.67,45.85,home,23
Jerome Baker,2035.595,93.98,25.32,home,23
Durham Smythe,2035.595,92.68,23.41,home,23
Dane Cruikshank,2035.595,90.71,21.47,away,23
football,2035.595,101.94,24.18,football,23
Rishard Matthews,2035.596,39.29,23.77,away,24
Brandon Bolden,2035.596,94.91,21.43,home,24
Logan Ryan,2035.596,89.39,7.17,away,24
Daren Bates,2035.596,92.51,21.89,away,24
Brynden Trawick,2035.596,92.8,25.43,away,24
Walt Aikens,2035.596,91.43,6.58,home,24
David Fluellen,2035.596,92.81,26.87,away,24
Senorise Perry,2035.596,95.7,25.8,home,24
Stephone Anthony,2035.596,93.91,21.76,home,24
A.J. Derby,2035.596,93.92,24.88,home,24
LeShaun Sims,2035.596,90.93,25.8,away,24
Aaron Wallace,2035.596,92.57,22.63,away,24
Tanner McEvoy,2035.596,97.27,23.05,home,24
Kenneth Durden,2035.596,89.51,45.06,away,24
Jonnu Smith,2035.596,92.96,24.14,away,24
Jayon Brown,2035.596,92.46,20.38,away,24
Chase Allen,2035.596,93.86,22.67,home,24
Matt Haack,2035.596,105.13,24.17,home,24
Torry McTyer,2035.596,91.33,46.04,home,24
Jerome Baker,2035.596,94.21,25.3,home,24
Durham Smythe,2035.596,92.84,23.29,home,24
Dane Cruikshank,2035.596,91.03,21.36,away,24
football,2035.596,103.14,24.24,football,24
Rishard Matthews,2035.597,39.26,23.72,away,25
Brandon Bolden,2035.597,95,21.36,home,25
Logan Ryan,2035.597,89.18,7.11,away,25
Daren Bates,2035.597,92.8,21.93,away,25
